month,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
1,9.660269711538461,10.52216316025641,7.6013903628205135,9.174361032051282,9.04096783974359,9.676372435897436,9.019214737179487,9.415811442307692,9.92669525,8.83941807051282,9.187273461538462,8.968157294871794
2,7.36186647948718,9.031079423076923,7.8155193141025645,7.778643887179487,8.393999176923076,9.196403307692309,7.627327938461538,8.37837887051282,8.18168172948718,8.936714397435898,8.306733734615383,9.114158826923077
3,7.9058243128205135,8.118304167948718,8.619085935897434,6.629813965384615,8.899837403846153,8.740329051282052,7.812055167948718,8.76897641025641,7.911688378205128,9.453133185897437,8.426775025641026,9.634577057692308
4,9.14962807051282,9.430491903846153,10.271250012820513,8.91817025,10.047060858974358,9.653842615384615,8.053894448717948,9.611388737179487,9.602435397435897,10.535704371794871,10.003163628205128,10.74477287179487
5,11.498454160256411,11.56830148076923,12.134435775641025,11.71545566025641,11.996901666666666,12.080338711538461,10.345975782051283,12.439381532051282,11.912698230769232,12.51192892948718,12.737588698717948,12.951924628205129
6,14.152520205128207,14.067416051282052,15.368710602564102,14.737244423076923,14.588766198717948,14.668253147435898,14.282852192307692,15.284661737179489,,15.031412756410255,15.251233653846153,15.753500891025642
7,16.650008423076923,16.48590126923077,17.53380373076923,17.994979461538463,17.433427525641026,16.589585461538462,16.196708096153845,17.90757285897436,17.15352608974359,17.144517205128206,18.091697076923076,19.18881423076923
8,17.60585414102564,18.00915641025641,18.094722615384615,18.79930544871795,18.122530423076924,18.43958269230769,17.49342662820513,19.78190455128205,18.278963858974357,18.93563178205128,19.1198695,
9,17.08380364102564,18.615004756410254,17.61419444871795,18.20420408974359,17.86483964102564,17.923924358974357,18.08282351282051,19.111331551282053,18.820121512820513,18.18479764102564,17.979277333333332,
10,15.178360788461537,16.10244042948718,16.20029937179487,16.26265739102564,16.058509243589743,15.424129378205127,16.162476756410257,16.805562730769232,17.28105628205128,16.207615320512822,15.96651989102564,
11,13.967659166666667,12.98586603846154,13.44777698076923,13.595191346153847,13.288947121794871,13.833154942307692,13.498165032051283,15.082088391025641,14.139789320512822,14.115311487179488,13.812229685897437,
12,12.196126314102564,10.45432891025641,10.001794243589744,11.67823405128205,11.032501987179488,11.492344788461539,10.460524743589744,11.287288993589742,10.95910566025641,11.122699878205127,,
